,src,dst,weight
73145,Ragga_HipHop,Pop_Punk,0.002335084646818447
73146,Pop_Punk,Turntablism,0.00016504373659019642
73147,Turntablism,Pop_Punk,0.00205761316872428
73148,Concert_Film,Deathrock,0.0011587485515643105
73149,Deathrock,Concert_Film,0.0011876484560570072
73150,Concert_Film,Dubstep,0.0011587485515643105
73151,Dubstep,Concert_Film,0.00012238404112103782
73152,Concert_Film,Tech_House,0.0011587485515643105
73153,Tech_House,Concert_Film,3.337115397450444e-05
73154,Gospel,Trap,0.00010336451496201354
73155,Trap,Gospel,0.00037425149700598805
73156,Classical_Guitar,Neo-Classical,0.021739130434782608
73157,Neo-Classical,Classical_Guitar,0.0004915212582944212
73158,Chiptune,Holiday,0.00244926522043387
73159,Holiday,Chiptune,0.0004512635379061372
73160,Country,Jazzdance,3.4252440486384655e-05
73161,Jazzdance,Country,0.0013012361743656475
73162,Jazzdance,Lo-Fi,0.0013012361743656475
73163,Lo-Fi,Jazzdance,0.0001945525291828794
73164,Garage_House,Roots_Reggae,0.00013466199838405601
73165,Roots_Reggae,Garage_House,9.092562284051645e-05
73166,Marches,Rockabilly,0.0007900974453515934
73167,Rockabilly,Marches,0.0002710761724044456
73168,Bossanova,Nueva_Cancion,0.0013591573224600749
73169,Nueva_Cancion,Bossanova,0.005449591280653951
73170,Bossanova,Nueva_Trova,0.0010193679918450561
73171,Nueva_Trova,Bossanova,0.012048192771084338
73172,Latin_Jazz,Nueva_Cancion,0.00014518002322880372
73173,Nueva_Cancion,Latin_Jazz,0.0013623978201634877
73174,African,Mod,0.00016735001255125095
73175,Mod,African,0.0005448106782892945
73176,African,Surf,0.0005857250439293783
73177,Surf,African,0.0009974351667141636
73178,Chillwave,Gangsta,0.00042918454935622315
73179,Gangsta,Chillwave,7.998080460689434e-05
73180,Chillwave,Thug_Rap,0.00042918454935622315
73181,Thug_Rap,Chillwave,0.00037965072133637056
73182,Chillwave,Trap,0.02145922746781116
73183,Trap,Chillwave,0.0093562874251497
73184,Highlife,Pacific,0.0015290519877675841
73185,Pacific,Highlife,0.0008853474988933156
73186,Poetry,Power_Electronics,0.00109080992637033
73187,Power_Electronics,Poetry,0.000999000999000999
73188,Country,Deathrock,6.850488097276931e-05
73189,Deathrock,Country,0.004750593824228029
73190,Dialogue,Reggae,0.0005797101449275362
73191,Reggae,Dialogue,7.48839299086416e-05
73192,Dialogue,Heavy_Metal,0.002318840579710145
73193,Heavy_Metal,Dialogue,0.0001230655631787835
73194,Easy_Listening,Synthwave,0.00015281640636938783
73195,Synthwave,Easy_Listening,0.0006958942240779402
73196,Bossa_Nova,Copla,0.00024189646831156264
73197,Copla,Bossa_Nova,0.0012755102040816326
73198,Copla,Easy_Listening,0.003826530612244898
73199,Easy_Listening,Copla,9.16898438216327e-05
73200,Copla,Mariachi,0.002551020408163265
73201,Mariachi,Copla,0.0010509721492380452
73202,Copla,Marimba,0.0012755102040816326
73203,Marimba,Copla,0.0058823529411764705
73204,Copla,Romantic,0.002551020408163265
73205,Romantic,Copla,4.786635713089055e-05
73206,Copla,Samba,0.006377551020408163
73207,Samba,Copla,0.0007546030787805615
73208,Mariachi,Romantic,0.0015764582238570678
