style,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Disco,-0.076930486,-0.34572124,0.07760068,0.11918498,0.22481817,0.02898533,0.15451132,-0.32845506,-0.14775689,-0.061304465,0.053944316,-0.5711317,0.045431647,-0.1990326,-0.23712058,0.36862344,0.09424453,0.03401218,0.1653301,0.40345612,-0.17458065,0.39227614,0.46160102,-0.14748305,-0.011947214,0.021940045,-0.008328854,0.19290523,-0.14324117,-0.04304324,0.26914045,-0.12765221
Soul,0.100702345,-0.30640608,0.058463767,-0.1197473,0.1466851,0.028260658,0.04757042,-0.34727368,-0.19055958,-0.11826689,-0.20016395,-0.41517398,-0.00037301806,-0.33600965,-0.108017154,0.32597938,-0.053974032,0.1922774,0.060239572,0.42282772,-0.21528949,0.53393334,0.32692322,-0.14717977,-0.1774307,0.22537924,-0.021505103,0.21506566,-0.33656654,-0.14636482,0.2737776,-0.104238845
Folk,0.29431745,-0.21916005,-0.14122191,0.08854645,0.01716785,-0.35468602,0.046360638,0.15471388,-0.4139522,0.030350057,0.13028625,-0.2695309,-0.18550326,0.012382426,-0.05236491,0.26189488,-0.19998819,0.56253856,-0.31678084,0.19622684,0.22426258,0.13407217,0.19831418,0.02178626,0.2400092,0.06588889,-0.28365898,0.09251081,0.10216708,-0.4161337,0.1401466,-0.13705476
Psychedelic_Rock,0.23720302,-0.069205984,0.3552809,0.16714987,0.18489325,-0.22744033,-0.0010425275,0.062031664,0.15050903,-0.06141048,-0.19076945,-0.321255,-0.070890926,-0.10823357,-0.17420982,0.027582834,0.25876275,0.010490103,-0.029917505,0.24766268,0.56818235,0.52679527,0.12754025,-0.43844283,-0.08829023,0.17731997,-0.2916639,0.411848,-0.15988798,-0.5203857,-0.01381965,-0.0061823237
Industrial,0.111467876,-0.05877856,0.21112269,0.5714655,0.18798102,-0.034578346,0.45001012,-0.055103447,0.3882219,-0.16450201,0.39343473,-0.40961862,-0.15495528,0.05303627,-0.19642009,-0.0729444,-0.29883736,-0.21707916,-0.3014595,0.08711241,0.30976588,-0.0362695,0.4961978,-0.16949978,0.08651775,0.24634413,-0.2482886,0.3081575,-0.29216313,-0.32940856,0.16534089,0.09522467
Noise,0.06954712,-0.028127912,0.26388812,0.4527422,0.035479218,0.20105982,0.4424818,0.08073551,0.30668932,-0.20240448,0.29133892,-0.38896576,-0.26846907,-0.01151195,-0.12146209,-0.08228433,-0.19826578,-0.1588038,-0.42815888,0.017764287,0.4745929,0.20612791,0.43430808,-0.17546663,-0.06287824,0.26061288,-0.38000706,0.09549223,-0.39856914,-0.37583733,0.02584259,-0.056331888
Funk,0.1583793,-0.3142601,-0.07237437,-0.033814922,0.09815476,0.17798789,-0.0121156685,-0.32081568,-0.20120525,-0.24086493,-0.16092154,-0.5039796,-0.12547429,-0.28236368,-0.23574182,0.21145153,-0.062931545,0.00083909056,0.18189594,0.3826886,-0.23023354,0.5552416,0.44406903,-0.100657515,-0.09211237,0.16157672,-0.085051306,0.14423092,-0.20235366,-0.13391183,0.29760242,-0.11475636
Rock_&_Roll,-0.01037462,0.12384247,0.23034896,-0.118198186,0.23885368,-0.042901225,-0.041211944,-0.029009147,-0.044282563,-0.035230007,-0.5102078,-0.23094119,0.002465622,-0.38801107,0.1004933,0.29360384,-0.18469223,0.102207005,-0.20661052,0.3785538,0.18979795,0.3563365,0.50678945,-0.07596637,0.23947515,0.12848443,-0.15147817,0.56430006,-0.040630143,-0.5589174,0.07157143,-0.08516958
Abstract,-0.09037434,-0.074674286,0.13683061,0.36577207,0.015472218,-0.0074730567,0.726919,0.036623344,0.14729103,-0.40820664,0.2322546,-0.41315332,-0.16796319,0.05235213,-0.1361691,-0.046890516,-0.31513405,-0.03896606,-0.017585767,0.0718044,0.4282544,0.09882684,0.37125593,-0.1525854,0.014234757,0.15284787,-0.20196448,0.07893624,-0.3737104,-0.27761185,0.08921041,-0.025923898
Folk_Rock,0.17325753,-0.18607299,0.23339449,0.040217347,0.18567316,-0.26133543,-0.028426226,0.20505011,-0.017646827,-0.117790274,-0.1279573,-0.3575441,-0.08455493,-0.15449397,-0.16834581,0.3388567,0.05164568,0.40185615,-0.16690923,0.25946632,0.28104672,0.25833172,0.23037092,-0.29570153,0.073685355,-0.03461217,-0.36290646,0.15723334,-0.100843646,-0.5172066,-0.028053679,0.0556119
Soundtrack,0.32985207,-0.19296142,0.3498249,-0.21791522,-0.04393189,-0.10485852,0.30082,0.22156595,-0.37257072,-0.4404577,0.22567946,-0.46460882,0.36851335,-0.27039066,-0.2608981,0.3605399,-0.023906168,-0.1628408,-0.14907552,0.08248201,0.5427637,0.037363414,0.21227229,0.26782164,-0.09727368,0.556555,0.09300076,0.1159285,0.16679376,-0.047857217,0.5055687,-0.09619998
Trance,-0.65595245,-0.20460184,-0.11143456,0.4350441,0.4177298,-0.40902448,0.5309624,-0.044237897,0.09622154,-0.25914478,0.3114457,-0.6928452,0.0677613,-0.27482948,-0.07794771,0.15123278,-0.1288638,-0.21321611,-0.5376365,0.21600522,0.0919611,0.3632103,0.4142078,-0.40446213,-0.24351385,0.030349614,-0.00020170564,0.128776,0.08420831,0.2639908,0.04994428,0.09099612
Romantic,0.3055939,-0.20732959,0.22387475,0.09874629,-0.4482069,-0.4647921,0.060543355,-0.24519603,-0.02457708,0.10306154,-0.11505453,-0.57501817,0.039629765,0.3122688,-0.1577091,0.963389,-0.9146064,-0.056763988,-0.24901916,-0.09033601,0.75596666,0.54694515,-0.17941341,0.30976707,0.4160479,0.22164454,0.67053366,-0.22830935,0.07646992,-0.5110207,0.44432983,0.017839054
Minimal,-0.20011856,-0.1857338,0.09980001,0.49717793,0.26868933,-0.1028262,0.58596504,0.25945663,0.25208178,-0.18818492,0.15100674,-0.65055233,-0.17389125,-0.037519734,-0.20819761,-0.088297404,-0.32464805,-0.11023096,0.10633635,0.27553552,0.35812142,0.14485666,0.33801904,-0.20046589,0.18841958,0.14915137,0.017745988,0.06156132,-0.42127788,0.058099255,0.20079316,-0.12634887
Hard_Rock,0.021505557,0.052563168,0.56361467,0.1972078,-0.059538335,-0.33959872,-0.27145463,0.16529785,0.15457971,0.047701504,-0.062265463,-0.35867262,-0.0152450865,0.064828314,-0.08907821,0.28583622,0.1757674,-0.05721454,0.07210699,0.44705987,0.13627608,0.37225494,0.53651893,-0.5200011,-0.04596676,0.5328054,-0.36133072,0.27224675,0.13148452,-0.6180013,0.04859062,0.1152808
New_Wave,0.110875785,-0.20444329,0.45310947,0.20946078,0.29963621,-0.09274973,-0.030832132,0.069667265,0.22276977,-0.19611032,0.112171255,-0.27648777,0.040276658,-0.05761444,-0.380284,0.20161082,-0.036357053,-0.06893447,-0.05813609,0.29943907,0.18127975,0.26369426,0.7055403,-0.37302768,0.35042492,-0.065476954,-0.0077116233,0.30205512,-0.12213385,-0.21198548,0.07191225,-0.16287899
Deep_House,-0.42502394,-0.15930605,0.212774,0.5378227,0.33915508,-0.0794696,0.57833093,-0.022288036,-0.09161417,-0.14479537,0.13905755,-0.83966607,-0.31872812,-0.30907315,-0.040134408,-0.118734516,-0.19901277,-0.09079141,0.19119337,0.4666268,0.029223246,0.4782537,0.3331078,-0.102264635,0.197919,-0.046121288,0.053444564,-0.021864599,-0.030929869,0.20876653,-0.0037715945,-0.028556334
Drone,-0.080528654,0.12673393,0.13278405,0.3058148,0.089547366,-0.013323905,0.77217877,0.026382387,0.14130129,-0.20484005,0.38866562,-0.42242435,-0.15593533,0.046956357,-0.22628084,-0.07461683,-0.35220978,-0.05727693,-0.031068452,0.048318975,0.60106283,0.11336306,0.32357034,-0.18794313,0.00021311287,0.24509495,-0.36746395,0.081869654,-0.45551527,-0.38777924,-0.038882036,0.03687177
Euro_House,-0.69208,-0.09912966,0.29229012,0.3657078,0.47745335,-0.37863773,0.341473,-0.35412303,-0.16905038,-0.07649582,0.37728608,-0.64907366,0.20739442,-0.110598505,-0.09194464,0.4200518,0.067156166,-0.01557476,-0.20554936,0.13846005,-0.032765094,0.43081626,0.2238462,-0.24904741,0.047895573,-0.07799873,-0.08011744,0.19920611,-0.26514357,0.102730885,0.08180484,-0.09049167
Tech_House,-0.482209,-0.15246184,0.1954479,0.75620615,0.3756809,-0.19972591,0.6069792,0.1275089,0.06427453,-0.17704518,0.19143164,-0.6551911,-0.06593987,-0.19369796,0.09977187,-0.199778,-0.26577732,-0.12811443,0.1539237,0.44648513,0.2366531,0.36935902,0.3007463,-0.2829892,0.13712399,0.049533837,0.20714074,0.04109717,-0.256843,0.21748146,0.29387376,-0.07563508
Easy_Listening,0.37328705,-0.24938153,0.05020186,-0.26697183,0.19369383,-0.3068273,0.09335222,-0.15155292,-0.10507051,-0.23387109,-0.09885925,-0.22555311,-0.10680401,-0.21776876,0.3297397,0.8050726,-0.19431043,0.0013454747,-0.030885482,0.20141569,0.43125963,0.0354813,0.4117245,0.22901429,-0.1726504,0.17489935,0.08461578,0.16984856,-0.20389198,-0.05368449,0.31069547,-0.19539022
Breakbeat,-0.31346682,-0.30384246,0.47883913,0.40278178,0.012810553,-0.22079512,0.5001138,0.0069689527,-0.113635704,-0.57018757,0.2750716,-0.5319318,-0.26313832,0.027096326,0.12004295,0.0020744158,-0.19356395,-0.2011613,-0.1215166,0.18666479,-0.031745642,0.3720449,0.431774,-0.08870229,0.007188983,-0.117617436,-0.073180474,0.38989606,0.046382457,0.03509444,-0.100441776,0.12765463
IDM,-0.059809335,-0.1893752,0.22871041,0.36888012,0.14954595,-0.07450631,0.867914,-0.03726509,0.23501137,-0.41177025,0.33607718,-0.54282963,-0.20263888,0.07743643,-0.0036834578,-0.08153835,-0.30195972,-0.026073845,0.031620093,0.07565279,0.29434726,0.19782795,0.2823725,-0.16175061,-0.06876286,0.20413263,-0.13478033,0.2930095,-0.097184144,-0.15321344,0.023146287,0.050738055
Prog_Rock,0.16598299,-0.12116107,0.3880205,0.24934244,0.18581022,-0.3521585,-0.06444444,-0.0698192,0.051046453,-0.1357861,-0.23465881,-0.42571113,-0.14821443,0.04636825,-0.23617768,0.32547957,0.37238005,-0.04097299,0.015373331,0.2541286,0.38516223,0.1922438,0.3148559,-0.2786505,-0.039949283,0.31594086,-0.37983805,-0.021847315,-0.17500791,-0.63901955,0.07452812,0.43863598
