style,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Soul,2.7075837,1.1210674,1.3636329,1.2745255,-1.3355008,-1.3068092,0.18426181,0.71016604,-1.2525477,0.5227847,-2.014381,-1.8733342,0.29512694,-0.077280186,0.9261495,3.0756176,0.10981713,2.4636512,1.2938877,0.7838037,0.16149797,0.8949374,-1.1801153,0.76447445,0.15129144,-0.19265193,1.409645,1.3204719,1.0608172,-0.16585872,2.5699563,-2.1747947
Folk,-0.049851168,-0.2801269,-1.041841,0.8654641,0.66619384,-0.27801153,0.22425067,-0.36941022,-3.406995,-0.10504654,1.997168,1.3671236,0.23900068,-0.31324807,0.064849384,-1.1826853,-1.0719095,1.2909344,0.8755384,-1.0631328,-1.9542677,-0.36834586,1.2316892,-0.37753966,0.1498387,0.60857946,1.2560973,1.4440972,0.7472325,-0.68730944,0.41831905,0.061142784
Downtempo,-1.9511429,1.0208194,-1.1687428,-0.32677293,-2.219985,-0.1733333,-4.033031,1.0489972,0.618836,1.7697611,-1.9704905,0.56861675,-1.0114968,1.4011182,1.9426879,-0.37617138,-2.6495206,0.45447755,0.7255589,-0.7949828,-1.3763511,-2.3654153,-1.1127492,-0.51265955,-0.025853576,-0.5691145,0.9343938,-0.32543743,0.49700257,0.5866591,0.8103874,-0.30886802
Psychedelic_Rock,1.346927,1.2803723,0.31912285,2.4987204,-0.28756377,0.8424452,-1.0100785,-0.6998988,-0.66736895,0.96438956,0.31031483,0.76391566,1.028979,0.8889928,-1.7856407,-0.75976056,2.8668678,0.8931276,0.75442225,1.0526476,-1.4127249,0.022281531,1.5734177,0.8917979,0.27661675,-4.4051833,-0.20645452,1.6042801,0.45919752,1.2182469,1.6100951,0.93546593
Rock_&_Roll,1.7787178,-0.038973056,2.3596668,2.0100331,0.62595916,1.2226776,0.28925833,0.13129322,-1.9508502,-1.027888,1.6695975,-0.6677412,0.7445418,1.0826297,-0.023034835,0.06935771,1.6083292,1.3355018,2.0456889,1.2351882,1.783329,3.227648,0.51812583,0.40711424,-0.603534,-1.2594986,0.09220096,0.4436482,0.9208088,0.5778692,2.2310722,-1.4766847
Funk,2.1695757,-0.21835044,0.9800331,0.3937839,-2.3471375,0.16676517,-2.027832,0.445499,-1.0233083,0.92524,-1.7801509,-1.2246004,-1.3025259,-0.7905176,1.4060476,2.5850143,0.6790195,2.4257019,2.034562,-1.846482,-0.29974282,-0.68686795,-0.17471802,1.8245865,-1.9912034,-1.2892181,-0.08634466,-0.03900344,-0.27453098,-0.6935018,1.8856341,-1.5085264
Industrial,-1.4364153,0.3931318,0.9710458,-1.4628702,0.740083,3.7093349,-3.8189151,0.6620818,0.43840003,-0.66355866,-0.10320792,2.2749064,-0.021920444,0.5900686,-0.18880688,-1.6175209,0.32007176,-2.4108539,-2.7218134,-1.5864235,-0.98006576,-1.0318475,0.6619038,-0.49777168,-0.95992917,-1.7553084,-2.1101413,-1.826507,-0.31571016,1.7612952,-1.3038753,2.1705165
Soundtrack,0.12647408,0.71553224,-0.7081792,-1.4747535,-1.8182498,0.19608128,-1.3518579,1.5307137,-1.5803396,-0.65144575,0.101603016,0.9217923,-2.5221484,-0.015669763,-1.1474673,0.44869652,-1.077427,0.7773982,1.9843334,1.87915,-1.83322,-0.16567098,-0.2662394,1.609809,0.45197967,-0.19885778,-0.10167297,2.1628964,0.7934989,2.0500903,0.3761795,-0.33284828
Hard_Rock,-0.36976245,-0.5910452,1.9006395,3.1253433,0.22333848,0.5660005,-0.4919544,1.7106322,-1.2648523,0.24488509,-0.7066481,-0.9459016,-0.38090825,3.2583125,-3.7828114,-1.9224682,1.8342305,1.4147334,0.40761578,1.5514227,1.0100976,1.3884944,1.2808949,2.0172935,-0.48399466,-0.87300926,-1.072066,-0.8158741,-0.9016583,0.16412747,0.41167292,-0.8440904
Noise,-1.3446988,2.2536085,-0.073642805,2.6549025,0.6038269,0.6634315,-3.1593268,0.2258656,-0.15190381,-0.9539758,0.32095352,1.1077812,1.2459905,-1.1574601,-1.5971272,-0.36479118,0.8774417,-4.4409614,-3.8338058,0.24299139,-3.701413,0.38851634,0.43839926,0.7444886,-0.1356651,-1.2471733,0.6608312,-0.2909113,-0.6299297,2.566383,-2.2791805,2.437036
